Country,Year,Happiness Score,gdp_per_capita,social_support,life_expectancy,freedom_of_choice,generosity,perceptions_of_corruption
Finland,2018,7.63,1.31,1.59,0.87,0.68,0.2,0.39
Denmark,2018,7.56,1.35,1.59,0.87,0.68,0.28,0.41
Iceland,2018,7.5,1.34,1.64,0.91,0.68,0.35,0.14
Switzerland,2018,7.49,1.42,1.55,0.93,0.66,0.26,0.36
Netherlands,2018,7.44,1.36,1.49,0.88,0.64,0.33,0.3
Luxembourg,2018,6.91,1.58,1.52,0.9,0.63,0.2,0.32
Sweden,2018,7.31,1.36,1.5,0.91,0.66,0.29,0.38
Norway,2018,7.59,1.46,1.58,0.86,0.69,0.29,0.34
Israel,2018,6.81,1.3,1.56,0.88,0.53,0.35,0.27
New Zealand,2018,7.32,1.27,1.6,0.88,0.67,0.37,0.39
Austria,2018,7.14,1.34,1.5,0.89,0.62,0.24,0.22
Australia,2018,7.27,1.34,1.57,0.91,0.65,0.36,0.3
Ireland,2018,6.98,1.45,1.58,0.88,0.61,0.31,0.31
Germany,2018,6.97,1.34,1.47,0.86,0.59,0.27,0.28
Canada,2018,7.33,1.33,1.53,0.9,0.65,0.32,0.29
United States,2018,6.89,1.4,1.47,0.82,0.55,0.29,0.13
United Kingdom,2018,7.19,1.24,1.43,0.89,0.46,0.26,0.08
Czech Republic,2018,6.71,1.23,1.49,0.85,0.54,0.06,0.03
Belgium,2018,6.93,1.32,1.48,0.89,0.58,0.19,0.24
France,2018,6.49,1.29,1.47,0.91,0.52,0.1,0.18
Bahrain,2018,6.11,1.34,1.37,0.7,0.59,0.24,0.12
Slovenia,2018,5.95,1.22,1.51,0.86,0.63,0.16,0.05
Costa Rica,2018,7.07,1.01,1.46,0.82,0.63,0.14,0.1
Saudi Arabia,2018,6.37,1.38,1.33,0.63,0.51,0.1,0.13
Taiwan Province of China,2018,6.44,1.37,1.44,0.86,0.42,0.15,0.08
Singapore,2018,6.34,1.53,1.45,1.01,0.63,0.26,0.46
Romania,2018,5.95,1.12,1.22,0.73,0.53,0.09,0
Spain,2018,6.31,1.25,1.54,0.97,0.45,0.14,0.07
Uruguay,2018,6.38,1.09,1.46,0.77,0.63,0.13,0.16
Italy,2018,6,1.26,1.5,0.95,0.28,0.14,0.03
Kosovo,2018,5.66,0.86,1.23,0.58,0.45,0.27,0.02
Malta,2018,6.63,1.27,1.53,0.88,0.65,0.38,0.14
Lithuania,2018,5.95,1.2,1.53,0.72,0.35,0.03,0.01
Slovakia,2018,6.17,1.21,1.54,0.78,0.35,0.12,0.01
Estonia,2018,5.74,1.2,1.53,0.74,0.55,0.09,0.17
Panama,2018,6.43,1.11,1.44,0.76,0.6,0.13,0.06
Brazil,2018,6.42,0.99,1.47,0.68,0.49,0.11,0.09
Guatemala,2018,6.38,0.78,1.27,0.61,0.6,0.18,0.07
Kazakhstan,2018,5.79,1.14,1.52,0.63,0.45,0.15,0.12
Cyprus,2018,5.76,1.23,1.19,0.91,0.42,0.2,0.04
Latvia,2018,5.93,1.15,1.45,0.67,0.36,0.09,0.07
Serbia,2018,5.4,0.98,1.37,0.69,0.29,0.13,0.04
Chile,2018,6.48,1.13,1.33,0.81,0.43,0.2,0.06
Nicaragua,2018,6.14,0.67,1.32,0.7,0.53,0.21,0.13
Mexico,2018,6.49,1.04,1.25,0.76,0.48,0.07,0.1
Croatia,2018,5.32,1.12,1.16,0.74,0.38,0.12,0.04
Poland,2018,6.12,1.18,1.45,0.78,0.55,0.11,0.06
El Salvador,2018,6.17,0.81,1.23,0.64,0.46,0.07,0.08
Kuwait,2018,6.08,1.47,1.3,0.68,0.55,0.17,0.11
Hungary,2018,5.62,1.17,1.4,0.73,0.26,0.06,0.02
Mauritius,2018,5.89,1.09,1.39,0.68,0.58,0.25,0.05
Uzbekistan,2018,6.1,0.72,1.58,0.61,0.72,0.33,0.26
Japan,2018,5.92,1.29,1.46,0.99,0.55,0.08,0.15
Honduras,2018,5.5,0.62,1.21,0.62,0.46,0.2,0.07
Portugal,2018,5.41,1.19,1.43,0.88,0.56,0.06,0.02
Argentina,2018,6.39,1.07,1.47,0.74,0.57,0.06,0.05
Greece,2018,5.36,1.15,1.2,0.88,0.13,0,0.04
South Korea,2018,5.88,1.27,1.2,0.96,0.24,0.18,0.05
Philippines,2018,5.52,0.78,1.31,0.51,0.64,0.12,0.11
Thailand,2018,6.07,1.02,1.42,0.71,0.64,0.36,0.03
Moldova,2018,5.64,0.66,1.3,0.62,0.23,0.17,0
Jamaica,2018,5.89,0.82,1.49,0.69,0.58,0.1,0.03
Kyrgyzstan,2018,5.13,0.53,1.42,0.59,0.54,0.28,0.04
Belarus,2018,5.48,1.04,1.5,0.7,0.31,0.1,0.15
Colombia,2018,6.26,0.96,1.44,0.64,0.53,0.1,0.04
Bosnia and Herzegovina,2018,5.13,0.92,1.08,0.76,0.28,0.22,0
Mongolia,2018,5.13,0.91,1.52,0.58,0.4,0.25,0.03
Dominican Republic,2018,5.3,0.98,1.44,0.61,0.58,0.12,0.11
Malaysia,2018,6.32,1.16,1.26,0.67,0.36,0.31,0.06
Bolivia,2018,5.75,0.75,1.22,0.51,0.61,0.14,0.05
China,2018,5.25,0.99,1.14,0.8,0.6,0.03,0.1
Paraguay,2018,5.68,0.84,1.52,0.62,0.54,0.16,0.07
Peru,2018,5.66,0.93,1.25,0.67,0.53,0.09,0.03
Montenegro,2018,5.35,1.02,1.28,0.73,0.26,0.11,0.08
Ecuador,2018,5.97,0.89,1.33,0.74,0.56,0.11,0.12
Vietnam,2018,5.1,0.72,1.37,0.7,0.62,0.18,0.08
Turkmenistan,2018,5.64,1.02,1.53,0.52,0.42,0.2,0.04
Russia,2018,5.81,1.15,1.48,0.6,0.4,0.07,0.03
Hong Kong S.A.R. of China,2018,5.43,1.41,1.29,1.03,0.52,0.25,0.29
Armenia,2018,4.32,0.82,0.99,0.67,0.26,0.08,0.03
Tajikistan,2018,5.2,0.47,1.17,0.6,0.29,0.19,0.03
Nepal,2018,4.88,0.43,1.23,0.54,0.53,0.3,0.08
Bulgaria,2018,4.93,1.05,1.52,0.71,0.36,0.06,0.01
Libya,2018,5.57,0.99,1.35,0.55,0.5,0.12,0.15
Indonesia,2018,5.09,0.9,1.22,0.52,0.54,0.48,0.02
Ivory Coast,2018,4.67,0.54,0.87,0.08,0.47,0.15,0.1
North Macedonia,2018,5.19,0.96,1.24,0.69,0.39,0.17,0.05
Albania,2018,4.59,0.92,0.82,0.79,0.42,0.15,0.03
South Africa,2018,4.72,0.94,1.41,0.33,0.52,0.1,0.06
Azerbaijan,2018,5.2,1.02,1.16,0.6,0.43,0.03,0.18
Bangladesh,2018,4.5,0.53,0.85,0.58,0.58,0.15,0.14
Laos,2018,4.62,0.72,1.03,0.44,0.63,0.23,0.17
Algeria,2018,5.3,0.98,1.15,0.69,0.08,0.06,0.14
Liberia,2018,3.5,0.08,0.86,0.27,0.42,0.21,0.03
Ukraine,2018,4.1,0.79,1.41,0.61,0.16,0.19,0.01
Morocco,2018,5.25,0.78,0.8,0.67,0.46,0.03,0.07
Mozambique,2018,4.42,0.2,0.9,0.17,0.53,0.21,0.16
Cameroon,2018,4.98,0.54,0.89,0.18,0.45,0.18,0.04
Senegal,2018,4.63,0.43,1.12,0.43,0.41,0.14,0.08
Niger,2018,4.17,0.13,0.87,0.22,0.39,0.18,0.1
